1,"((1,1),0)","((1,1),0)","((1,1),0)","((1,1),0)","((1,1),0)","((1,1),0)","((1,1),0)","((1,2),0)","((1,3),0)","((2,3),0)","((2,4),0)","((2,5),0)","((3,5),0)","((3,4),0)","((3,5),0)","((4,5),0)","((5,5),0)","((5,5),1)","((5,5),0)","((5,6),0)"
2,"((1,1),0)","((1,1),0)","((1,1),0)","((1,1),0)","((1,1),0)","((1,1),0)","((1,1),1)","((1,1),0)","((2,1),0)","((3,1),0)","((4,1),0)","((5,1),0)","((6,1),0)","((5,9),0)","((6,9),0)","((7,9),0)","((8,9),0)","((8,9),1)","((8,9),0)","((9,1),0)"
3,"((1,1),0)","((1,1),0)","((1,1),0)","((1,1),0)","((1,1),0)","((1,1),0)","((1,2),0)","((1,3),0)","((2,3),0)","((2,4),0)","((2,5),0)","((3,5),0)","((4,5),0)","((4,4),0)","((4,3),0)","((5,3),0)","((6,3),0)","((6,3),0)","((6,3),0)","((6,4),0)"
4,"((1,1),0)","((1,1),0)","((1,1),0)","((1,1),0)","((1,1),0)","((1,1),1)","((1,1),0)","((2,1),0)","((3,1),0)","((4,1),0)","((5,1),0)","((6,1),0)","((6,2),0)","((6,1),0)","((6,1),1)","((6,1),0)","((7,1),0)","((7,1),0)","((7,1),0)","((7,2),0)"
5,"((1,1),0)","((1,1),0)","((1,1),0)","((1,1),0)","((1,2),0)","((2,2),0)","((3,2),0)","((4,2),0)","((5,2),0)","((6,2),0)","((7,2),0)","((8,2),0)","((9,2),0)","((9,1),0)","((9,1),0)","((1,1),1)","((1,1),0)","((1,2),0)","((1,2),0)","((1,3),0)"
6,"((1,1),0)","((1,1),0)","((1,1),0)","((1,1),0)","((2,1),0)","((2,2),0)","((3,2),0)","((3,3),0)","((4,3),0)","((4,4),0)","((5,4),0)","((5,5),0)","((6,5),0)","((6,4),0)","((6,4),0)","((7,4),0)","((8,4),0)","((8,4),0)","((8,4),0)","((8,5),0)"
7,"((1,1),0)","((1,1),0)","((1,1),0)","((1,1),0)","((1,1),1)","((1,1),0)","((2,1),0)","((3,1),0)","((4,1),0)","((5,1),0)","((6,1),0)","((6,2),0)","((5,4),0)","((5,3),0)","((5,3),0)","((6,3),0)","((7,3),0)","((7,4),0)","((7,4),0)","((7,5),0)"
8,"((1,1),0)","((1,1),0)","((1,1),0)","((1,2),0)","((2,2),0)","((3,2),0)","((4,2),0)","((5,2),0)","((6,2),0)","((7,2),0)","((8,2),0)","((9,2),0)","((8,2),0)","((8,1),0)","((8,1),0)","((9,1),0)","((9,1),0)","((9,1),0)","((9,1),0)","((9,2),0)"
9,"((1,1),0)","((1,1),0)","((1,1),0)","((2,1),0)","((2,2),0)","((3,2),0)","((3,3),0)","((4,3),0)","((4,4),0)","((5,4),0)","((5,5),0)","((6,5),0)","((5,5),0)","((5,4),0)","((5,5),0)","((6,5),0)","((7,5),0)","((7,5),1)","((7,5),0)","((7,6),0)"
10,"((1,1),0)","((1,1),0)","((1,1),0)","((1,1),1)","((1,1),0)","((1,2),0)","((2,2),0)","((3,2),0)","((4,2),0)","((4,3),0)","((5,3),0)","((5,4),0)","((4,4),0)","((4,3),0)","((5,3),0)","((6,3),0)","((7,3),0)","((7,3),1)","((7,3),0)","((7,4),0)"
11,"((1,1),0)","((1,1),0)","((1,1),0)","((1,2),0)","((1,2),1)","((1,2),0)","((2,2),0)","((3,2),0)","((3,3),0)","((4,3),0)","((5,3),0)","((6,3),0)","((7,3),0)","((7,2),0)","((7,1),0)","((8,1),0)","((9,1),0)","((9,1),1)","((9,1),0)","((9,2),0)"
12,"((1,1),0)","((1,1),0)","((1,1),0)","((1,2),0)","((1,3),0)","((1,4),0)","((1,5),0)","((2,5),0)","((3,5),0)","((3,6),0)","((3,7),0)","((4,7),0)","((5,7),0)","((5,6),0)","((5,6),1)","((5,6),0)","((6,6),0)","((6,6),1)","((6,6),0)","((6,7),0)"
